name,essround,edition,proddate,idno,cntry,nwspol,netusoft,netustm,ppltrst,pplfair,pplhlp,polintr,psppsgva,actrolga,psppipla,cptppola,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,contplt,donprty,badge,sgnptit,pbldmna,bctprd,pstplonl,volunfp,clsprty,prtdgcl,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,hmsfmlsh,hmsacld,euftf,lrnobed,loylead,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,gndr
ESS11e01,11,1,2024-06-20,50014,AT,90,5,180,5,5,5,1,4,5,4,5,6,9,10,5,5,5,5,1,2,2,2,2,2,2,2,2,1,2,5,8,6,4,6,8,8,2,2,4,3,6,4,4,2,2,3,7,3,5,8,1
ESS11e01,11,1,2024-06-20,50030,AT,90,5,570,10,0,1,2,3,2,3,2,6,6,4,1,0,5,5,1,2,2,1,1,1,1,2,1,1,2,0,9,2,5,7,10,10,1,1,5,1,9,2,5,2,2,2,6,5,9,9,2
ESS11e01,11,1,2024-06-20,50057,AT,30,5,30,6,9,8,2,4,4,4,3,7,5,8,4,4,7,5,1,1,1,2,1,1,1,1,1,1,2,3,10,6,5,6,5,8,1,1,5,1,7,5,3,1,1,1,9,9,8,9,2
ESS11e01,11,1,2024-06-20,50106,AT,15,1,6666,6,6,6,3,2,2,2,3,5,6,9,3,3,4,4,2,2,2,2,2,2,2,2,2,2,6,5,7,4,4,6,5,2,1,2,4,3,5,2,9,2,2,2,6,6,5,7,2
ESS11e01,11,1,2024-06-20,50145,AT,60,5,120,6,3,8,2,3,1,4,3,6,8,8,5,5,6,8,1,2,2,2,1,2,2,2,2,1,2,2,9,6,7,8,9,9,2,2,4,2,10,1,2,1,1,2,10,10,10,9,1
ESS11e01,11,1,2024-06-20,50158,AT,120,5,120,8,8,4,2,2,3,2,3,3,5,7,5,5,4,6,1,2,2,2,2,2,1,2,2,2,6,4,8,4,2,3,3,7,2,2,4,2,3,2,2,2,3,3,5,6,6,8,2
ESS11e01,11,1,2024-06-20,50211,AT,45,1,6666,7,7,8,2,2,2,2,2,6,5,8,4,5,4,6,1,2,2,2,2,2,2,2,2,1,2,4,8,6,3,6,88,7,2,2,4,4,3,2,2,1,3,3,88,3,2,7,2
ESS11e01,11,1,2024-06-20,50212,AT,120,5,240,8,8,8,1,4,4,4,5,9,9,9,7,6,7,7,1,1,2,2,1,1,1,1,1,1,2,3,8,6,6,8,6,7,2,1,5,2,5,3,3,2,2,3,6,8,7,8,2
ESS11e01,11,1,2024-06-20,50213,AT,20,5,180,7,8,7,3,2,2,2,2,6,7,8,3,2,5,6,1,2,2,2,2,2,2,2,2,2,6,5,8,6,5,8,9,9,1,2,5,3,1,2,3,2,3,3,7,5,5,8,2
ESS11e01,11,1,2024-06-20,50235,AT,120,1,6666,3,4,3,2,3,2,3,3,8,8,10,8,8,4,8,1,2,2,2,2,2,2,2,2,2,6,5,8,7,8,7,8,9,2,2,3,3,10,2,4,1,2,3,5,0,0,7,2
ESS11e01,11,1,2024-06-20,50236,AT,60,5,120,5,5,6,1,2,4,3,4,6,8,8,6,6,6,8,1,2,1,1,1,2,1,7,2,1,2,4,8,6,6,6,6,6,2,2,5,2,4,4,3,2,3,3,6,6,6,8,2
ESS11e01,11,1,2024-06-20,50238,AT,5,5,60,5,7,7,2,2,2,2,3,6,9,9,3,3,8,7,2,2,2,2,2,1,2,2,2,2,6,4,5,6,4,9,8,8,1,1,4,4,8,1,9,1,2,2,10,8,6,5,1
